client,nationality,title,pos_review,pos_review_en,pos_compound,pos_comp_score,len_pos_review,neg_review,neg_review_en,neg_compound,neg_comp_score,len_neg_review,date_review,year_review,month_review,score,score_2,travel_type,room_type
Sandra,España,Excepcional,Restaurante cena,La Cena Restaurant,0.0,neutral,16,,,,,0,2023-04-27,2023,4,10.0,Wonderful,En pareja,Habitación Familiar Deluxe
Augustbou,España,Muy bien,"Ubicación, aparcamiento, amabilidad del personal.
Desayuno correcto.","Location, parking, friendly staff.
Correct breakfast.",0.4939,positive,68,"No es un hotel con magníficas instalaciones, es limpio y acogedor","It is not a hotel with magnificent facilities, it is clean and cozy",-0.1144,neutral,65,2023-04-26,2023,4,8.0,Good,En pareja,Habitación Doble Deluxe
Jeep,España,Muy bien,Tamaño de habitacion,Room Size,0.0,neutral,20,Wi-fi colapsada,Wi-fi Collapsed,-0.2732,negative,15,2023-04-24,2023,4,8.0,Good,En pareja,Habitación Doble Deluxe
Carles,España,Fantástico,Todo,All,0.0,neutral,4,A la ducha de nuestra habitación le faltaba presión,The shower in our room lacked pressure,-0.296,negative,51,2023-04-23,2023,4,9.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Miguel,España,Excepcional,Nos gustó todo en general fabuloso,We liked everything overall fabulous,0.7351,positive,34,Ok,Ok,0.296,positive,2,2023-04-22,2023,4,10.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Sara,España,Muy bien,Ubicación,Location,0.0,neutral,9,Nada,Nothing,0.0,neutral,4,2023-04-22,2023,4,8.0,Good,En grupo,Habitación Cuádruple Estándar
Miguel,España,Muy bien,En el centro y parking,In the center and parking,0.0,neutral,22,Hacía mucho calor y no pudimos bajar la calefacción,It was very hot and we couldn't turn the heat down.,0.0,neutral,51,2023-04-11,2023,4,8.0,Good,En familia,Habitación Cuádruple Estándar
Jose,España,RELAX,"BUENOS DIAS ,TENER APARCAMIENTO EN EL HOTEL","GOOD MORNING ,HAVE PARKING AT THE HOTEL",0.4404,positive,43,"NO ES QUE NO ME GUSTARA ,PERO ESPERABA MAS DEL DESAYUNO PORQUE SON 12,50 EUROS POR PERSONA Y UNA FAMILIA 4 PERSONAS 50 EUROS LO VEO EXCESIVO PARA LA VARIEDAD, Y 4 DIAS 200 EUROS DESAYUNAR . UFFF","IT'S NOT THAT I DIDN 'T LIKE IT,BUT I EXPECTED MORE FROM BREAKFAST BECAUSE IT'S 12.50 EUROS PER PERSON AND A FAMILY 4 PEOPLE 50 EUROS I SEE IT TOO MUCH FOR THE VARIETY, AND 4 DAYS 200 EUROS FOR BREAKFAST . UFFF",0.4995,positive,194,2023-04-11,2023,4,8.0,Good,En familia,Habitación Cuádruple Estándar
Carla,España,Para repetir,El trato del personal fue muy agradable y la habitación muy bonita y limpia.,The treatment of the staff was very nice and the room very nice and clean.,0.8462,positive,76,Nada malo.,Nothing bad. ,0.431,positive,10,2023-04-11,2023,4,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Alicia,España,Un gran hotel,"El hotel está muy ubicado. Es elegante y moderno, la habitación muy grande y cómoda. El personal muy amable.","The hotel is very located. It is elegant and modern, the room very large and comfortable. Very friendly staff.",0.8795,positive,108,"Nada, todo es genial","Nothing, everything is great",-0.5096,negative,20,2023-04-10,2023,4,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
