,client,title,pos_review,neg_review,nationality,score,travel_type,room_type,date_review,pos_review_en,neg_review_en
0,Sandra,Excepcional,Restaurante cena,,España,10.0,En pareja,Habitación Familiar Deluxe,2023-04-27,La Cena Restaurant,
1,Augustbou,Muy bien,"Ubicación, aparcamiento, amabilidad del personal.
Desayuno correcto.","No es un hotel con magníficas instalaciones, es limpio y acogedor",España,8.0,En pareja,Habitación Doble Deluxe,2023-04-26,"Location, parking, friendly staff.
Correct breakfast.","It is not a hotel with magnificent facilities, it is clean and cozy"
2,Jeep,Muy bien,Tamaño de habitacion,Wi-fi colapsada,España,8.0,En pareja,Habitación Doble Deluxe,2023-04-24,Room Size,Wi-fi Collapsed
3,Carles,Fantástico,Todo,A la ducha de nuestra habitación le faltaba presión,España,9.0,En familia,Habitación Cuádruple Deluxe,2023-04-23,All,The shower in our room lacked pressure
4,Miguel,Excepcional,Nos gustó todo en general fabuloso,Ok,España,10.0,En familia,Habitación Cuádruple Deluxe,2023-04-22,We liked everything overall fabulous,Ok
5,Sara,Muy bien,Ubicación,Nada,España,8.0,En grupo,Habitación Cuádruple Estándar,2023-04-22,Location,Nothing
6,Miguel,Muy bien,En el centro y parking,Hacía mucho calor y no pudimos bajar la calefacción,España,8.0,En familia,Habitación Cuádruple Estándar,2023-04-11,In the center and parking,It was very hot and we couldn't turn the heat down.
7,Jose,RELAX,"BUENOS DIAS ,TENER APARCAMIENTO EN EL HOTEL","NO ES QUE NO ME GUSTARA ,PERO ESPERABA MAS DEL DESAYUNO PORQUE SON 12,50 EUROS POR PERSONA Y UNA FAMILIA 4 PERSONAS 50 EUROS LO VEO EXCESIVO PARA LA VARIEDAD, Y 4 DIAS 200 EUROS DESAYUNAR . UFFF",España,8.0,En familia,Habitación Cuádruple Estándar,2023-04-11,"GOOD MORNING ,HAVE PARKING AT THE HOTEL","IT'S NOT THAT I DIDN 'T LIKE IT,BUT I EXPECTED MORE FROM BREAKFAST BECAUSE IT'S 12.50 EUROS PER PERSON AND A FAMILY 4 PEOPLE 50 EUROS I SEE IT TOO MUCH FOR THE VARIETY, AND 4 DAYS 200 EUROS FOR BREAKFAST . UFFF"
8,Carla,Para repetir,El trato del personal fue muy agradable y la habitación muy bonita y limpia.,Nada malo.,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2023-04-11,The treatment of the staff was very nice and the room very nice and clean.,Nothing bad. 
9,Alicia,Un gran hotel,"El hotel está muy ubicado. Es elegante y moderno, la habitación muy grande y cómoda. El personal muy amable.","Nada, todo es genial",España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2023-04-10,"The hotel is very located. It is elegant and modern, the room very large and comfortable. Very friendly staff.","Nothing, everything is great"
10,Conchi,fantastica,"Nos encanto que la habitación cuádruple estuviese en dos espacios independientes con su propia televisión y baño, las camas muy cómodas y la media pensión de lujo,además muy cerca de la zona comercial.","por decir algo el tema de los baños está un poco dejado, limpio pero necesitaría un poco de reforma , por el resto genial",España,9.0,En familia,Habitación Cuádruple Estándar,2023-04-10,"We loved that the quadruple room was in two independent spaces with its own television and bathroom, very comfortable beds and luxury half board,also very close to the commercial area.","to say something the theme of the bathrooms is a bit left, clean but would need a little reform , for the rest great"
11,Meritxell,Bien. Muy buena ubicación,La habitación,Pocas zonas comunes,España,8.0,En familia,Habitación Cuádruple Deluxe,2023-04-10,The bedroom,Few common areas
12,Rodrigo,Muy bien todo en general,"Ubicación
Desayuno
Limpieza
Habitación",,España,9.0,En pareja,Habitación Triple,2023-04-10,"Location
Breakfast
Cleaning
Room",
13,Merce,Finde increíble en familia,"La ubicación,  el tamaño de la habitación y como estaba distribuida",,España,10.0,En familia,Habitación Cuádruple Estándar,2023-04-10,"The location,  the size of the room and how it was distributed",
14,Esther,Excepcional,"Encantada, volveré, las cenas maravillosas y el personal muy agradable.",,España,10.0,En familia,Habitación Cuádruple Estándar,2023-04-09,"Delighted, I will be back, wonderful dinners and very nice staff.",
15,Emilio,hotel cerca de la calle principal de Andorra ideal para familia con hijos.,La habitación es amplia con dos zonas para dormir separadas y dos baños.,El desayuno,España,8.0,En familia,Habitación Triple,2023-04-09,The room is spacious with two separate sleeping areas and two bathrooms.,Breakfast
