,client,title,pos_review,neg_review,nationality,score,travel_type,room_type,date_review
0,Sandra,Excepcional,Restaurante cena,,España,10,En pareja,Habitación Familiar Deluxe,27/04/2023
1,Augustbou,Muy bien,"Ubicación, aparcamiento, amabilidad del personal.
Desayuno correcto.","No es un hotel con magníficas instalaciones, es limpio y acogedor",España,"8,0",En pareja,Habitación Doble Deluxe,26/04/2023
2,Jeep,Muy bien,Tamaño de habitacion,Wi-fi colapsada,España,"8,0",En pareja,Habitación Doble Deluxe,24/04/2023
3,Carles,Fantástico,Todo,A la ducha de nuestra habitación le faltaba presión,España,"9,0",En familia,Habitación Cuádruple Deluxe,23/04/2023
4,Miguel,Excepcional,Nos gustó todo en general fabuloso,Ok,España,10,En familia,Habitación Cuádruple Deluxe,22/04/2023
5,Sara,Muy bien,Ubicación,Nada,España,"8,0",En grupo,Habitación Cuádruple Estándar,22/04/2023
6,Miguel,Muy bien,En el centro y parking,Hacía mucho calor y no pudimos bajar la calefacción,España,"8,0",En familia,Habitación Cuádruple Estándar,11/04/2023
7,Jose,RELAX,"BUENOS DIAS ,TENER APARCAMIENTO EN EL HOTEL","NO ES QUE NO ME GUSTARA ,PERO ESPERABA MAS DEL DESAYUNO PORQUE SON 12,50 EUROS POR PERSONA Y UNA FAMILIA 4 PERSONAS 50 EUROS LO VEO EXCESIVO PARA LA VARIEDAD, Y 4 DIAS 200 EUROS DESAYUNAR . UFFF",España,"8,0",En familia,Habitación Cuádruple Estándar,11/04/2023
8,Carla,Para repetir,El trato del personal fue muy agradable y la habitación muy bonita y limpia.,Nada malo.,España,10,En pareja,Habitación Doble - 1 o 2 camas,11/04/2023
9,Alicia,Un gran hotel,"El hotel está muy ubicado. Es elegante y moderno, la habitación muy grande y cómoda. El personal muy amable.","Nada, todo es genial",España,10,En pareja,Habitación Doble - 1 o 2 camas,10/04/2023
10,Conchi,fantastica,"Nos encanto que la habitación cuádruple estuviese en dos espacios independientes con su propia televisión y baño, las camas muy cómodas y la media pensión de lujo,además muy cerca de la zona comercial.","por decir algo el tema de los baños está un poco dejado, limpio pero necesitaría un poco de reforma , por el resto genial",España,"9,0",En familia,Habitación Cuádruple Estándar,10/04/2023
11,Meritxell,Bien. Muy buena ubicación,La habitación,Pocas zonas comunes,España,"8,0",En familia,Habitación Cuádruple Deluxe,10/04/2023
12,Rodrigo,Muy bien todo en general,"Ubicación
Desayuno
Limpieza
Habitación",,España,"9,0",En pareja,Habitación Triple,10/04/2023
13,Merce,Finde increíble en familia,"La ubicación,  el tamaño de la habitación y como estaba distribuida",,España,10,En familia,Habitación Cuádruple Estándar,10/04/2023
14,Esther,Excepcional,"Encantada, volveré, las cenas maravillosas y el personal muy agradable.",,España,10,En familia,Habitación Cuádruple Estándar,9/04/2023
15,Emilio,hotel cerca de la calle principal de Andorra ideal para familia con hijos.,La habitación es amplia con dos zonas para dormir separadas y dos baños.,El desayuno,España,"8,0",En familia,Habitación Triple,9/04/2023
16,Quecisa,Gran hotel para familias en Andorra,"La habitación era muy amplia y confortable.
Mención especial para el restaurante, teníamos media pensión y tanto el desayuno como la cena fueron formidables. Además su personal se desvive por ayudar.",Todo ok,España,10,En familia,Habitación Cuádruple Deluxe,8/04/2023
17,Ignasi,Excepcional,"El servicio del hotel inmegorable
Buena ubicacion cerca del centro
Habitacion grande y cama muy comoda",,España,10,En pareja,Habitación Doble - 1 o 2 camas,7/04/2023
18,Rose,Hotel muy confortable,"La habitación amplia, cama cómoda, desayuno muy bueno y personal muy amable.",,España,10,En pareja,Habitación Doble - 1 o 2 camas,7/04/2023
19,Imma,Fantástico,"Es muy espacioso y está genial disponer de dos habitaciones y dos baños, así aunque compartas con los niños tienes cierta independencia.
Buen desayuno y servicio muy agradable.
Tocando a la zona comercial.
Parking bastante ancho y fácil de acceder.",Antes de hacer el check out quisimos volver a la habitación y como vieron que no había maletas la habían lavado y no pudimos entrar,España,"9,0",En familia,Habitación Cuádruple Estándar,6/04/2023
20,Paula,Agradable,Lo cerca que estaba del parking,La tarjeta para abrir la puerta no funcionaba bien,España,"8,0",En pareja,Habitación Doble Deluxe,6/04/2023
21,Laura,correcto,el desayuno. muy bueno y completo,detalles descuidados de la habitación,España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,3/04/2023
22,Eduardo,nuena,en general todo,Parking coste elevado,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,29/03/2023
